Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Chad,TCD,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Channel Islands,CHI,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Chile,CHL,29.8821666896018
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,China,CHN,20.9191500728439
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Colombia,COL,29.2114669104945
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Comoros,COM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Congo, Dem. Rep.",COD,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Congo, Rep.",COG,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Costa Rica,CRI,34.5645314568425
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cote d'Ivoire,CIV,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Croatia,HRV,26.6358899338543
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cuba,CUB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Curacao,CUW,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cyprus,CYP,26.9964584883808
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Czech Republic,CZE,23.3056362491559
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Denmark,DNK,24.1084391239422
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Djibouti,DJI,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Dominica,DMA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Dominican Republic,DOM,19.5311268441202
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Ecuador,ECU,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Egypt, Arab Rep.",EGY,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,El Salvador,SLV,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Equatorial Guinea,GNQ,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Eritrea,ERI,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Estonia,EST,21.5718672587795
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Eswatini,SWZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Ethiopia,ETH,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Faroe Islands,FRO,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Fiji,FJI,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Finland,FIN,17.5924817060654
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,France,FRA,19.0194423334644
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,French Polynesia,PYF,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Gabon,GAB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Gambia, The",GMB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Georgia,GEO,25.3960205289491
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Germany,DEU,20.9791289810347
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Ghana,GHA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Gibraltar,GIB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Greece,GRC,25.3104550653086
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Greenland,GRL,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Grenada,GRD,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Guam,GUM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Guatemala,GTM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Guinea,GIN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Guinea-Bissau,GNB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Guyana,GUY,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Haiti,HTI,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Honduras,HND,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Hong Kong SAR, China",HKG,18.1110517392956
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Hungary,HUN,24.4549995030597
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Iceland,ISL,26.0083140303597
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,India,IND,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Indonesia,IDN,30.8838137658512
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Iran, Islamic Rep.",IRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Iraq,IRQ,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Ireland,IRL,20.9505950877651
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Isle of Man,IMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Israel,ISR,21.6634009089419
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Italy,ITA,25.3996032632274
