Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Gibraltar,GIB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Greece,GRC,7.81923494204962
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Greenland,GRL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Grenada,GRD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Guam,GUM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Guatemala,GTM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Guinea,GIN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Guinea-Bissau,GNB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Guyana,GUY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Haiti,HTI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Honduras,HND,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Hong Kong SAR, China",HKG,2.00166038508344
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Hungary,HUN,8.08140904290845
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Iceland,ISL,6.04072006273648
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,India,IND,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Indonesia,IDN,16.7873929592795
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Iran, Islamic Rep.",IRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Iraq,IRQ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Ireland,IRL,1.69296431994106
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Isle of Man,IMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Israel,ISR,8.09894541788868
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Italy,ITA,5.4197519013751
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Jamaica,JAM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Japan,JPN,2.99455431510335
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Jordan,JOR,13.6759871589571
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Kazakhstan,KAZ,10.6288251478944
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Kenya,KEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Kiribati,KIR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Korea, Dem. People’s Rep.",PRK,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Korea, Rep.",KOR,3.43083596588686
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Kosovo,XKX,28.0252224214274
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Kuwait,KWT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Kyrgyz Republic,KGZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Lao PDR,LAO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Latvia,LVA,3.84530863827652
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Lebanon,LBN,24.5422147779766
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Lesotho,LSO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Liberia,LBR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Libya,LBY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Liechtenstein,LIE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Lithuania,LTU,6.68790179217705
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Luxembourg,LUX,7.77616694494767
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Macao SAR, China",MAC,2.07676674418356
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Macedonia, FYR",MKD,24.1411293303702
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Madagascar,MDG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Malawi,MWI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Malaysia,MYS,10.2824641482952
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Maldives,MDV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Mali,MLI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Malta,MLT,11.1171140782811
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Marshall Islands,MHL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Mauritania,MRT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Mauritius,MUS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Mexico,MEX,11.3567971155394
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Micronesia, Fed. Sts.",FSM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Moldova,MDA,14.700157556384
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Monaco,MCO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Mongolia,MNG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Montenegro,MNE,12.9536496664142
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Morocco,MAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Mozambique,MOZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Myanmar,MMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Namibia,NAM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Nauru,NRU,..
