Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Lebanon,LBN,24.1306787697978
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Lesotho,LSO,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Liberia,LBR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Libya,LBY,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Liechtenstein,LIE,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Lithuania,LTU,1.28786334732783
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Luxembourg,LUX,1.94986315458794
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Macao SAR, China",MAC,0.26354341377605
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Macedonia, FYR",MKD,18.8287395956856
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Madagascar,MDG,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Malawi,MWI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Malaysia,MYS,2.4604468853858
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Maldives,MDV,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Mali,MLI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Malta,MLT,7.47319588154295
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Marshall Islands,MHL,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Mauritania,MRT,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Mauritius,MUS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Mexico,MEX,2.00085853682169
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Micronesia, Fed. Sts.",FSM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Moldova,MDA,5.94710988347853
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Monaco,MCO,..
