Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Estonia,EST,8.39718809969577
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Eswatini,SWZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Ethiopia,ETH,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Faroe Islands,FRO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Fiji,FJI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Finland,FIN,7.84858100094877
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,France,FRA,12.7140987046869
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,French Polynesia,PYF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Gabon,GAB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Gambia, The",GMB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Georgia,GEO,25.7801009562431
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Germany,DEU,11.1719198563692
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Ghana,GHA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Gibraltar,GIB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Greece,GRC,17.2291129256803
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Greenland,GRL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Grenada,GRD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Guam,GUM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Guatemala,GTM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Guinea,GIN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Guinea-Bissau,GNB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Guyana,GUY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Haiti,HTI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Honduras,HND,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Hong Kong SAR, China",HKG,7.02108662917352
